FIPS,Town,Age Range,Population
900551350,New Hartford,9 to 17,925
900952070,New Haven,9 to 17,14122
901152350,New London,9 to 17,2790
900552630,New Milford,9 to 17,3780
900352140,Newington,9 to 17,3294
900152980,Newtown,9 to 17,4535
900553470,Norfolk,9 to 17,226
900953890,North Branford,9 to 17,1877
900554030,North Canaan,9 to 17,379
900954870,North Haven,9 to 17,2946
901155500,North Stonington,9 to 17,633
900156060,Norwalk,9 to 17,8851
901156270,Norwich,9 to 17,4556
901157040,Old Lyme,9 to 17,955
900757320,Old Saybrook,9 to 17,1224
900957600,Orange,9 to 17,1949
900958300,Oxford,9 to 17,1660
901559980,Plainfield,9 to 17,1959
900360120,Plainville,9 to 17,1928
900560750,Plymouth,9 to 17,1577
901561030,Pomfret,9 to 17,628
900761800,Portland,9 to 17,1213
901162150,Preston,9 to 17,536
900962290,Prospect,9 to 17,1231
901562710,Putnam,9 to 17,1105
900163480,Redding,9 to 17,1405
900163970,Ridgefield,9 to 17,4399
900365370,Rocky Hill,9 to 17,2020
900565930,Roxbury,9 to 17,268
901166210,Salem,9 to 17,637
900566420,Salisbury,9 to 17,376
901567400,Scotland,9 to 17,233
900967610,Seymour,9 to 17,1958
900567960,Sharon,9 to 17,249
900168170,Shelton,9 to 17,4696
900168310,Sherman,9 to 17,525
900368940,Simsbury,9 to 17,3915
901369220,Somers,9 to 17,1293
900371390,South Windsor,9 to 17,3751
900969640,Southbury,9 to 17,2460
900370550,Southington,9 to 17,5229
901171670,Sprague,9 to 17,354
901372090,Stafford,9 to 17,1485
900173070,Stamford,9 to 17,12496
901573420,Sterling,9 to 17,491
901173770,Stonington,9 to 17,2138
900174190,Stratford,9 to 17,6126
900374540,Suffield,9 to 17,1919
900575730,Thomaston,9 to 17,1068
901575870,Thompson,9 to 17,1191
901376290,Tolland,9 to 17,2344
900576570,Torrington,9 to 17,3941
900177200,Trumbull,9 to 17,5290
901377830,Union,9 to 17,87
901378250,Vernon,9 to 17,2757
901178600,Voluntown,9 to 17,308
900978740,Wallingford,9 to 17,5188
900579510,Warren,9 to 17,179
900579720,Washington,9 to 17,395
900980070,Waterbury,9 to 17,14374
901180280,Waterford,9 to 17,2383
900580490,Watertown,9 to 17,2828
900382590,West Hartford,9 to 17,7904
900982870,West Haven,9 to 17,5803
900781680,Westbrook,9 to 17,790
900183430,Weston,9 to 17,2043
900183500,Westport,9 to 17,4588
900384900,Wethersfield,9 to 17,3013
901385950,Willington,9 to 17,669
900186370,Wilton,9 to 17,3302
900586440,Winchester,9 to 17,1242
901586790,Windham,9 to 17,2595
900387070,Windsor Locks,9 to 17,1433
900387000,Windsor,9 to 17,3567
900987560,Wolcott,9 to 17,2321
900987700,Woodbridge,9 to 17,1361
900587910,Woodbury,9 to 17,1286
901588190,Woodstock,9 to 17,1121
9,Connecticut,9 to 17,438148
